Stop ID,Bay,Name,Notes
37707,1,Bacchus Marsh Station/Station St (Maddingley),
48833,2,Bacchus Marsh Station/Station St (Maddingley),
48834,3,Bacchus Marsh Station/Station St (Maddingley),
20912,4,Bacchus Marsh Station/Station St (Maddingley),coach and TRBS stop
46443,2,Bairnsdale Railway Station/MacLeod St (Bairnsdale),
46442,3,Bairnsdale Railway Station/MacLeod St (Bairnsdale),
16309,4,Bairnsdale Railway Station/MacLeod St (Bairnsdale),
37915,5,Bairnsdale Railway Station/MacLeod St (Bairnsdale),
48835,1,Ballan Station/Atkinson St (Ballan),
48837,2,Ballan Station/Atkinson St (Ballan),
25,3,Ballan Station/Atkinson St (Ballan),coach stop
49016,1,Ballarat Bus Interchange (Soldiers Hill),
49017,2,Ballarat Bus Interchange (Soldiers Hill),
49018,3,Ballarat Bus Interchange (Soldiers Hill),need to check
40183,1,Bayswater Station/Station St (Bayswater),
40182,2,Bayswater Station/Station St (Bayswater),
19583,1,Belgrave Station/Belgrave-Gembrook Rd (Belgrave),
19582,2,Belgrave Station/Belgrave-Gembrook Rd (Belgrave),
19581,3,Belgrave Station/Belgrave-Gembrook Rd (Belgrave),
19580,4,Belgrave Station/Belgrave-Gembrook Rd (Belgrave),
16238,1,Bendigo Station/Railway Pl (Bendigo),
40713,4,Bendigo Station/Railway Pl (Bendigo),
36924,6,Bendigo Station/Railway Pl (Bendigo),
40715,7,Bendigo Station/Railway Pl (Bendigo),
40716,8,Bendigo Station/Railway Pl (Bendigo),
40644,9,Bendigo Station/Railway Pl (Bendigo),
40643,10,Bendigo Station/Railway Pl (Bendigo),
40717,11,Bendigo Station/Railway Pl (Bendigo),
28341,A,Berwick Station (Berwick),
28342,B,Berwick Station (Berwick),
28343,C,Berwick Station (Berwick),
28344,D,Berwick Station (Berwick),
28345,E,Berwick Station (Berwick),
28346,F,Berwick Station (Berwick),
28347,G,Berwick Station (Berwick),
28348,H,Berwick Station (Berwick),
20995,1,Boronia Station/Erica Ave (Boronia),
20996,2,Boronia Station/Erica Ave (Boronia),
20997,3,Boronia Station/Erica Ave (Boronia),
20998,4,Boronia Station/Erica Ave (Boronia),
20999,6,Boronia Station/Erica Ave (Boronia),
21000,7,Boronia Station/Erica Ave (Boronia),
21001,8,Boronia Station/Erica Ave (Boronia),
19651,1,Box Hill Bus Station/Station St (Box Hill),
19649,2,Box Hill Bus Station/Station St (Box Hill),
19650,3,Box Hill Bus Station/Station St (Box Hill),
19648,4,Box Hill Bus Station/Station St (Box Hill),
19647,5,Box Hill Bus Station/Station St (Box Hill),
19646,6,Box Hill Bus Station/Station St (Box Hill),
19645,7,Box Hill Bus Station/Station St (Box Hill),
19644,8,Box Hill Bus Station/Station St (Box Hill),
19643,9,Box Hill Bus Station/Station St (Box Hill),
19642,10,Box Hill Bus Station/Station St (Box Hill),
19641,11,Box Hill Bus Station/Station St (Box Hill),
19640,13,Box Hill Bus Station/Station St (Box Hill),
19639,14,Box Hill Bus Station/Station St (Box Hill),
22314,1,Broadmeadows Station/Pascoe Vale Rd (Broadmeadows),
21479,2,Broadmeadows Station/Pascoe Vale Rd (Broadmeadows),
21478,3,Broadmeadows Station/Pascoe Vale Rd (Broadmeadows),
21477,4,Broadmeadows Station/Pascoe Vale Rd (Broadmeadows),
21476,5,Broadmeadows Station/Pascoe Vale Rd (Broadmeadows),
51389,A,Caroline Springs Station/Christies Rd (Ravenhall),Bay C removed - former deer park shuttle stop? Now a second coach stop
27854,B,Caroline Springs Station/Christies Rd (Ravenhall),"PTV also has the bays wrong, showing 51389 as B and 27854 as C"
