SPT,PTM,SPT,cal_type
6:30,6:35,,WEEKDAY_MF
,6:40,6:45,WEEKDAY_MF
6:50,6:55,,WEEKDAY_MF
,7:00,7:05,WEEKDAY_MF
7:10,7:15,,WEEKDAY_MF
,7:20,7:25,WEEKDAY_MF
7:30,7:35,,WEEKDAY_MF
,7:40,7:45,WEEKDAY_MF
7:50,7:55,,WEEKDAY_MF
,8:00,8:05,WEEKDAY_MF
8:10,8:15,,WEEKDAY_MF
,8:20,8:25,WEEKDAY_MF
8:30,8:35,,WEEKDAY_MF
,8:40,8:45,WEEKDAY_MF
8:50,8:55,,WEEKDAY_MF
,9:00,9:05,WEEKDAY_MF
9:10,9:15,,WEEKDAY_MF
,15:40,15:45,WEEKDAY_MF
15:50,15:55,,WEEKDAY_MF
,16:00,16:05,WEEKDAY_MF
16:10,16:15,,WEEKDAY_MF
,16:20,16:25,WEEKDAY_MF
16:30,16:35,,WEEKDAY_MF
,16:40,16:45,WEEKDAY_MF
16:50,16:55,,WEEKDAY_MF
,17:00,17:05,WEEKDAY_MF
17:10,17:15,,WEEKDAY_MF
,17:20,17:25,WEEKDAY_MF
17:30,17:35,,WEEKDAY_MF
,17:40,17:45,WEEKDAY_MF
17:50,17:55,,WEEKDAY_MF
,18:00,18:05,WEEKDAY_MF
18:10,18:15,,WEEKDAY_MF
,18:20,18:25,WEEKDAY_MF
18:30,18:35,,WEEKDAY_MF
,18:40,18:45,WEEKDAY_MF
18:50,18:55,,WEEKDAY_MF
,19:00,19:05,WEEKDAY_MF
