original_name,updated_name
Box Hill Bus Station/Station Street,Box Hill Railway Station/Station Street
Chisholm Institute of TAFE/Beach Street,Chisholm TAFE - Frankston/Beach Street
Chisholm Institute Of TAFE/Beach Street,Chisholm TAFE - Frankston/Beach Street
Chisholm Institute/Cleeland Street,Chisholm TAFE - Dandenong/Cleeland Street
Chisholm TAFE/Stud Road,Chisholm TAFE - Dandenong/Stud Road
Dalgetty Street/Holding Street,Dalgetty Road/Holding Street
Freeburgh Hall/Great Alpine Road,Freeburgh Community Hall/Great Alpine Road
Holmesglen TAFE/Warrigal Road,Holmesglen TAFE - Chadstone/Warrigal Road
TAFE Gippsland - Yallourn Campus/Monash Road,Gippsland TAFE/Monash Road
Goulburn Ovens TAFE/Wallis Street,Goulburn Ovens TAFE - Seymour/Wallis Street
Goulburn Ovens Institute of TAFE/Fryers Street,Goulburn Ovens TAFE - Shepparton/Fryers Street
GOTAFE William Orr Campus/Wanganui Road,Goulburn Ovens Institute of TAFE - William Orr/Wanganui Road
South West TAFE/200 Ballarat Road,South West TAFE - Hamilton/Ballarat Road
South West TAFE/Kepler Street,South West TAFE - Warrnambool/Kepler Street
Monash University,Monash University Bus Loop
Newport Interchange/Mason Street,Newport Railway Station/Mason Street
Swinburne TAFE/Norton Road,Swinburne TAFE - Croydon/Norton Road
Swinburne TAFE/Stud Road,Swinburne TAFE - Wantirna/Stud Road
Clarendon Street/Whiteman Street,Clarendon Street Junction/Whiteman Street
Flemington Racecourse/Racecourse Road,Ascot Vale Road/Racecourse Road
New Quay Promenade/Docklands Drive,NewQuay Promenade/Docklands Drive
Port Junction/Whiteman Street,Clarendon Street Junction/Whiteman Street
Lakes Caravilla/Princes Highway,Hunters Lane/Princes Highway
South Dudley Road/Bass Highway,Wonthaggi Community Garden/Bass Highway
Clunes-Creswick,Williams St/Clunes-Creswick Road
Alfred Street/Clunes-Creswick Road,Williams St/Clunes-Creswick Road
ANZAC Railway Station/St. Kilda Road,Anzac Railway Station/St. Kilda Road
ANZAC Railway Station/Domain Road,Anzac Railway Station/Domain Road
24 Roberts Avenue,Coach Terminal/24 Roberts Avenue
Ward Street/Roberts Avenue,Horsham Town Centre/Roberts Avenue
Royden Road/Warrandyte-Ringwood Road,Royden Road/Ringwood-Warrandyte Road
Wyena Pony Club/47 Croydon Road,Wyena Pony Club/Croydon Road
Masonic Avenue/Warrandyte-Ringwood Road,Masonic Avenue/Ringwood-Warrandyte Road
Godfrey Avenue/Warrandyte-Ringwood Road,Godfrey Avenue/Ringwood-Warrandyte Road
Brumbys Road/Warrandyte-Ringwood Road,Brumbys Road/Ringwood-Warrandyte Road
Harding Road/Warrandyte-Ringwood Road,Harding Road/Ringwood-Warrandyte Road
Johansons Road/Warrandyte-Ringwood Road,Johansons Road/Ringwood-Warrandyte Road
Jumping Creek Road/Warrandyte-Ringwood Road,Jumping Creek Road/Ringwood-Warrandyte Road
