vnet_code,stop_name
"ADC","Adelaide City"
"ADF","Adelaide Hills From Adelaide"
"ADT","Adelaide Hills To Adelaide"
"AII","Aireys Inlet"
"AI2","Aireys Inlet stop 2"
"AEN","Alberton"
"ABX","Albury"
"AXD","Alexandra Nihil Street"
"ALL","Allendale"
"ANS","Anderson"
"ALS","Anglesea Stop 1"
"AL2","Anglesea Stop 2"
"ANU","Annuello"
"APB","Apollo Bay"
"AP2","Apollo Bay Stop 2"
"ARY","Ararat"
"AR1","Ararat City"
"ARR","Ardeer & Z2"
"ASC","Ascot"
"AVN","Avenel"
"AVC","Avoca"
"BAH","Bacchus Marsh & Z2"
"BSJ","Bairnsdale"
"BS2","Bairnsdale Stop 2"
"BLN","Ballan"
"BHC","Ballan HCC"
"BXT","Ballarat & BTS"
"BX3","Ballarat City"
"BX2","Ballarat Hosp (McDonalds)"
"BX1","Ballarat Hosp (Shell Serv)"
"BLA","Ballendella"
"BL1","Ballendella Northern Hwy"
"BL2","Ballendella School"
"BNN","Bannerton T/O"
"BKN","Bannockburn"
"BVM","Barham"
"BAV","Barmah"
"BAX","Barooga"
"BPO","Barraport"
"BAS","Bass"
"BA1","Bass Valley PS"
"BTY","Batemans Bay"
"BSD","Batesford"
"BAZ","Bay of Islands"
"BRD","Bay Road"
"BEI","Bealiba"
"BRL","Bears Lagoon"
"BFR","Beaufort Station"
"BF2","Beaufort Stop 2"
"BHW","Beechworth"
"BGA","Bega"
"BPA","Bell Park & GTS"
"BEL","Bellbrae"
"BA2","Bellbrae Stop 2"
"BA3","Bellbrae Stop 3"
"BBV","Bells Beach T/O"
"BMV","Belmont"
"BRT","Bemm River T/O"
"BEN","Benalla"
"BXG","Bendigo & BTS"
"BC1","Bendigo College 1"
"BC2","Bendigo College 2"
"BMG","Bermagui 1"
"BM2","Bermagui 2"
"BWC","Berriwillock"
"BEK","Berwick & Z2"
"BLX","Beulah"
"BHP","Birchip"
"BGU","Birregurra"
"BG2","Birregurra Coach Stop"
"BPD","Blampied"
"BOD","Bodalla"
"BWA","Bolwarra"
"BW1","Bolwarra Stop 1"
"BOL","Bombala"
"BDN","Bonnie Doon"
"BOT","Boort"
"BOR","Bordertown"
"BOU","Borung"
"BYB","Boundary Bend"
"BXH","Box Hill & Z2"
"BHE","Branxholme"
"BH1","Branxholme Stop 1"
"BH2","Branxholme Stop 2"
"BWE","Bridgewater"
"BIT","Bright"
"BRZ","Brim"
"BRF","Broadford"
"BRQ","Broadmeadows & Z2"
"BMD","Broomfield"
"BUR","Buangor"
"BCH","Buccleuch"
"BFO","Buffalo T/O"
"BT2","Bullarto (From Daylesford)"
"BTO","Bullarto (From Woodend)"
"BHA","Bunbartha"
"BDA","Bundoora RMIT & Z1+2"
"BIY","Buninyong"
"BYP","Bunyip"
"BUN","Burramine"
"BUT","Burrumbeet"
"BST","Buxton"
"BYA","Byaduk"
"BYN","Byaduk North"
"CBV","Cabbage Tree Creek"
"CMF","Campbellfield & Z2"
"CAM","Campbelltown"
"CDN","Camperdown"
"JOC","Canberra City"
"CBR","Canberra Railway Station"
"CVV","Cann River"
"CPP","Cape Paterson"
"CWI","Cape Woolamai"
"CAD","Cardigan Village"
"CSK","Carisbrook"
"CRU","Carmut"
"CSG","Caroline Springs & Z2"
"CAR","Carrajung"
"CST","Casterton"
"CS1","Casterton Hospital"
"CME","Castlemaine"
"CFL","Caulfield & Z1+ 2"
"CHN","Charlton"
"CLR","Chiltern"
"CLX","Clarendon"
"CFD","Clarkefield & Z2"
"CTO","Clayton & Z2"
"CU1","Clunes Coach Stop 1"
"CLU","Clunes Station"
"CLC","Coal Creek"
"CXB","Cobargo"
"CBK","Cobblebank & Z2"
"CBD","Cobden"
"CRM","Cobram"
"CBU","Coburg & Z1+2"
"COH","Cohuna"
"XCO","Colac"
"CIV","Colbinabbin"
"CML","Coleambally"
"CRE","Coleraine"
"CDH","Condah"
"CGA","Congupna"
"OOM","Cooma"
"CPY","Coonalpyn S.A."
"CRL","Corinella"
"CR2","Corinella T/O"
"COR","Corio & GTS"
"CNY","Coronet Bay"
"CRP","Corop"
"CWW","Corowa Stop 1"
"CW2","Corowa Stop 2"
"COE","Cowes Stop 1"
"CO2","Cowes Stop 2"
"CWV","Cowwarr"
"CRA","Craigieburn & Z2"
"CQR","Cranbourne & Z2"
"CQ2","Cranbourne & Z2"
"CRK","Creswick"
"CR1","Creswick"
"CR3","Creswick Lakeside Dr"
"CRN","Creswick North"
"CQQ","Croydon & Z2"
"CLG","Culgoa"
"DAD","Dadswells Bridge"
"DAI","Daisy Hill"
"DLY","Dalmeny T/O"
"DLN","Dalyston"
"DNG","Dandenong & Z2"
"DGT","Darlington"
"DPT","Darlington Point"
"DRM","Darnum"
"DTR","Dartmoor"
"ZZZ","Day Pass Z 1+2"
"DFD","Daylesford"
"DF2","Daylesford 2"
"DCS","Deep Creek Street"
"DRP","Deer Park & Z2"
"DNQ","Deniliquin Stop 1"
"DN2","Deniliquin Stop 2"
"DLM","Derrinallum"
"DEV","Devenish"
"DIM","Dimboola"
"DIG","Dingee"
"DLD","Donald"
"DBK","Donnybrook & Z2"
"DO2","Drouin Bus Stop"
"DOU","Drouin Station"
"DUD","Dudley"
"DUH","Dunach"
"DUK","Dunkeld"
"DOY","Dunolly"
"DHX","Durham Ox"
"EAP","Eagle Point VIC"
"EAG","Eaglehawk & BTS"
"EA2","Eaglehawk Bus Stop & BTS"
"EPH","East Pakenham Station"
"ESV","Eastern View"
"ECB","Echuca Ampol Road House (3)"
"EC4","Echuca BP Coach stop"
"ECH","Echuca Station"
"EAS","Echuca Stop 2"
